Combination,Num_Modalities,Precision_NCR,Recall_NCR,F1_NCR,Precision_ED,Recall_ED,F1_ED,Precision_ET,Recall_ET,F1_ET,Macro_Precision,Macro_Recall,Macro_F1
F,1,0.36685024484940276,0.39119740304587064,0.37863282998182884,0.6064137335593157,0.7203330373373767,0.6584826225469573,0.37307895009962705,0.40882203069758083,0.39013352773836446,0.4487809761694485,0.5067841570269427,0.47574966008905023
T1c,1,0.6870155392891374,0.5267962311260248,0.5963316646678156,0.3682956892129702,0.768085841619824,0.49786571981117544,0.6334648315551292,0.8278214041793024,0.7177180398097912,0.5629253533524122,0.7075678256417172,0.6039718080962607
T1,1,0.2914667688769644,0.28642490019306005,0.28892384041294206,0.27288073711575017,0.454618025595273,0.3410493825948203,0.20039069351616964,0.24696293903414554,0.22125258866777064,0.2549127331696281,0.32933528827415953,0.28374193722517765
T2,1,0.4487636877804973,0.4440335352523626,0.4463860810434613,0.5184830794686532,0.6839984865112408,0.5898496104582711,0.3619396041661021,0.5655695639961098,0.4414016187608113,0.4430621238050842,0.5645338619199044,0.4925457700875146
F+T1c,2,0.8492558273426073,0.6578356847363256,0.7413893373012093,0.7807815421376426,0.8782315218939273,0.8266444392570266,0.8350586012799753,0.8735261848142213,0.8538593577669625,0.8216986569200752,0.8031977971481581,0.8072977114417328
F+T1,2,0.5008790566891347,0.47438888682982305,0.48727420955062206,0.7187079446415919,0.7170850401968094,0.7178955752191362,0.4141500137541045,0.5276399014105836,0.46405693861819536,0.544579005028277,0.5730379428124054,0.5564089077959845
F+T2,2,0.6161249275277741,0.43901795214148376,0.5127076326029902,0.7258480496147305,0.7639435038660981,0.7444087073812051,0.46241425031084704,0.6554330951273333,0.5422593783472648,0.6014624091511173,0.619464850378305,0.5997919061104867
T1c+T1,2,0.8210480931165441,0.6231659373053617,0.7085503862198047,0.5578615297184526,0.6943945067618321,0.6186849501784691,0.7989398823063618,0.8801386043140835,0.8375758948103684,0.7259498350471194,0.7325663494604259,0.721603743736214
T1c+T2,2,0.7658262641679706,0.7753157376613492,0.7705417855318222,0.6669758799661579,0.8668982276543996,0.7539082971129053,0.8164929917838313,0.881654992294047,0.8478237811178929,0.7497650453059865,0.8412896525365986,0.7907579545875402
T1+T2,2,0.5433093276660934,0.43601191686878155,0.48378270711546145,0.6097637665573815,0.6946421939443695,0.6494414368150739,0.4005514520508018,0.6207318064193623,0.4869070834820826,0.5178748487580922,0.5837953057441712,0.5400437424708726
F+T1c+T1,3,0.8413064031737792,0.7110861411709616,0.7707346005423897,0.8040989775784267,0.871202036787271,0.8363066231534794,0.8393665953887293,0.8808945801833499,0.8596293343875465,0.8282573253803118,0.8210609193805275,0.8222235193611386
F+T1c+T2,3,0.8210395391119004,0.7516808757277417,0.7848308115586604,0.7996828267768994,0.8909000790253356,0.842830589526953,0.8409872357816794,0.8829874779019724,0.8614757425112439,0.8205698672234932,0.8418561442183498,0.8297123811989525
F+T1+T2,3,0.6010700943386976,0.4987258400009401,0.5451360172166938,0.7514439178918417,0.7559877748085102,0.7537089980678361,0.47317301824891683,0.6413984404191603,0.5445903599863544,0.6085623434931521,0.6320373517428702,0.6144784584236281
T1c+T1+T2,3,0.8033818468509547,0.7485934822429675,0.7750205857409563,0.7223201797454158,0.8523420680064673,0.7819630865552065,0.8268943535851417,0.888399289152805,0.8565441363811295,0.7841987933938374,0.8297782798007466,0.8045092695590975
All 4,4,0.8182883604963133,0.7527825261845379,0.7841698097572245,0.8089296553113051,0.888326799082971,0.8467711400071682,0.8447545918542751,0.8819548418852977,0.8629539955395701,0.8239908692206311,0.8410213890509355,0.8312983151013209
Average,-,0.6517083987518515,0.5678038033658395,0.6049608199495923,0.6474991672864356,0.766732609539447,0.6973207452457123,0.6081104710454462,0.710929010121957,0.65254545186169,0.6357726790279111,0.6818218076757478,0.6516090056856647
