Combination,NCR,ED,ET_Label,Label_Mean,Clinical_ET,Clinical_TC,Clinical_WT,Clinical_Mean,Variance_Global,Variance_PredTumor,Variance_ROI,Num_Modalities
F,0.3124599129308722,0.5945087266603319,0.34681654888367214,0.4179283961582921,0.34681654888367214,0.558478547418323,0.7992972755921537,0.5681974572980497,0.0,nan,nan,1
T1c,0.5436936469504654,0.4430934292136968,0.6099245909891793,0.5322372223844472,0.6099245909891793,0.6534876333474482,0.5702895311809394,0.6112339185058555,0.0,nan,nan,1
T1,0.17433594827367682,0.2974855423175852,0.1707230416354162,0.21418151074222608,0.1707230416354162,0.30744033672739485,0.4969787589704295,0.32504737911108017,0.0,nan,nan,1
T2,0.36598450423430967,0.5200988464949112,0.3866901668309247,0.4242578391867152,0.3866901668309247,0.5574361947142479,0.7400934085420582,0.5614065900290769,0.0,nan,nan,1
F+T1c,0.6874235149202089,0.770460751102458,0.7774281640347155,0.7451041433524609,0.7774281640347155,0.8331166156894616,0.8747457057475094,0.8284301618238954,0.22628514860493254,0.9833021033332643,0.9539628578609679,2
F+T1,0.38399003488809985,0.6552287141432562,0.41843796719354487,0.4858855720749669,0.41843796719354487,0.6274275935024943,0.863384326585973,0.6364166290940041,0.2040296906968987,0.5565749225744688,0.5398777489405704,2
F+T2,0.4384553372587237,0.6856735235458589,0.49217632059583005,0.5387683938001375,0.49217632059583005,0.6672419411579213,0.8770752152598712,0.6788311590045408,0.2031758779667288,0.6473473444640399,0.6324195227774966,2
T1c+T1,0.6616753112718154,0.553922872284457,0.745654170431078,0.6537507846624502,0.745654170431078,0.7910102592153077,0.7031430399334763,0.7466024898599539,0.22070728788575328,0.5812636726049788,0.5368854472955384,2
T1c+T2,0.6915306944830948,0.6912881140597165,0.7747740600758095,0.7191976228728735,0.7747740600758095,0.8390466490634291,0.8134239005496302,0.8090815365629563,0.22037330596333005,0.7545468194551201,0.7336021855295417,2
T1+T2,0.3999437185717919,0.5714278252546274,0.43374383077257317,0.4683717915329975,0.43374383077257317,0.6053108160153952,0.7974894281246688,0.6121813583042124,0.22469920626437045,0.4219116152401464,0.4107565113391534,2
F+T1c+T1,0.6977982737506142,0.7822815985980062,0.7830948635663993,0.7543915786383399,0.7830948635663993,0.8451458218533442,0.8865544935502854,0.8382650596566762,0.28934317245426405,0.9616832595422449,0.9313923447018125,3
F+T1c+T2,0.7088712511725159,0.7931440660435024,0.7882283259525458,0.7634145477228547,0.7882283259525458,0.8573247709300413,0.8966225634414361,0.8473918867746744,0.2888152626643618,1.0866268392340594,1.057705594367715,3
F+T1+T2,0.46285186804723427,0.6932448291802311,0.49577398489060553,0.5506235607060237,0.49577398489060553,0.6792811571483118,0.8882007285715099,0.6877519568701425,0.28084656999880575,0.7323650640557962,0.7142389428568077,3
T1c+T1+T2,0.6977117437696775,0.7193644345938358,0.7792598111870368,0.73211199651685,0.7792598111870368,0.8417994606186194,0.8396839542217939,0.8202477420091501,0.29590213655000663,0.8017584185201333,0.7735687237811754,3
All 4,0.7072412503950031,0.7991061991844066,0.7911703812943556,0.7658392769579218,0.7911703812943556,0.8593697068522651,0.901599778122161,0.8507132887562606,0.3248176284995212,1.0141960497633868,0.9871213457498892,4
Average,0.528931134061207,0.6380219648451253,0.586259748555579,0.5844042824873038,0.586259748555579,0.7015278336169336,0.7965721405595931,0.6947865742440353,0.1852663525032649,0.7765069189806945,0.7519573841091517,-
